model,type
TOSHIBA MG07ACA14TA,HDD
ST12000NM0008,HDD
ST8000NM0055,HDD
ST4000DM000,HDD
ST16000NM001G,HDD
HGST HUH721212ALN604,HDD
TOSHIBA MG08ACA16TA,HDD
HGST HUH721212ALE604,HDD
ST8000DM002,HDD
WDC WUH721816ALE6L4,HDD
ST12000NM001G,HDD
ST14000NM001G,HDD
HGST HMS5C4040BLE640,HDD
WDC WUH721414ALE6L4,HDD
TOSHIBA MG08ACA16TE,HDD
TOSHIBA MG08ACA16TEY,HDD
ST12000NM0007,HDD
ST14000NM0138,HDD
ST10000NM0086,HDD
HGST HUH721212ALE600,HDD
WDC WUH721816ALE6L0,HDD
HGST HMS5C4040ALE640,HDD
WDC WUH722222ALE6L4,HDD
HGST HUH728080ALE600,HDD
TOSHIBA MQ01ABF050M,HDD
TOSHIBA MQ01ABF050,HDD
ST500LM012 HN,HDD
Seagate BarraCuda 120 SSD ZA250CM10003,SSD
ST500LM030,HDD
CT250MX500SSD1,SSD
TOSHIBA MG07ACA14TEY,HDD
ST6000DX000,HDD
WD Blue SA510 2.5 250GB,SSD
Seagate BarraCuda SSD ZA250CM10002,SSD
ST16000NM002J,HDD
WDC WD5000LPVX,HDD
ST12000NM000J,HDD
ST14000NM0018,HDD
HGST HUH728080ALE604,HDD
Seagate SSD,SSD
TOSHIBA HDWF180,HDD
ST8000NM000A,HDD
ST14000NM000J,HDD
ST4000DM005,HDD
ST18000NM000J,HDD
WDC WDS250G2B0A,SSD
Seagate IronWolf ZA250NM10002,SSD
WUH721816ALE6L4,HDD
ST500LM021,HDD
HGST HUS726040ALE610,HDD
MTFDDAV240TCB,SSD
HGST HUS728T8TALE6L4,HDD
WDC WD5000LPCX,HDD
Seagate FireCuda 120 SSD ZA500GM10001,SSD
TOSHIBA MD04ABA400V,HDD
ST16000NM000J,HDD
Micron 5300 MTFDDAK480TDS,SSD
ST4000DM004,HDD
SSDSCKKB480G8R,SSD
ST12000NM0117,HDD
HGST HUH721010ALE600,HDD
ST8000DM005,HDD
WDC WD5000BPKT,HDD
Seagate BarraCuda SSD ZA500CM10002,SSD
